Product,Adverse Event,Count,Expected Count,p_value,PRR,product margin,event margin,fdr
FEXOFENADINE HYDROCHLORIDE,PRODUCT QUALITY ISSUE,12.0,0.6528957528957529,0.0,18.68147449281671,89.0,703.0,2.293169770523512e-07
FILGRASTIM,BACTERIAL INFECTION,5.0,0.08644474590420537,0.0,60.573127472120966,76.0,109.0,2.3017922066601038e-07
FILGRASTIM,CLOSTRIDIUM DIFFICILE COLITIS,4.0,0.05868725868725869,0.0,71.99548861895379,76.0,74.0,2.314021349237736e-07
FILGRASTIM,CYTOMEGALOVIRUS VIRAEMIA,4.0,0.024585202963581344,0.0,186.65497006891923,76.0,31.0,2.324363324046079e-07
FILGRASTIM,FEBRILE NEUTROPENIA,8.0,0.34974433893352813,0.0,23.277987110219012,76.0,441.0,2.3379330123756226e-07
FILGRASTIM,MATERNAL EXPOSURE BEFORE PREGNANCY,3.0,0.022999060836898674,0.0,145.37550551373798,76.0,29.0,2.3533636881442096e-07
FENTANYL CITRATE,RESPIRATORY ARREST,9.0,0.3266617969320672,0.0,28.3697971451842,104.0,301.0,2.2620911070606905e-07
FINGOLIMOD HYDROCHLORIDE,MULTIPLE SCLEROSIS RELAPSE,20.0,0.3241051862673484,0.0,66.7463997770396,119.0,261.0,2.8100042757690445e-07
FINGOLIMOD HYDROCHLORIDE,OPTIC NEURITIS,6.0,0.07574872169466763,0.0,87.74117631105885,119.0,61.0,2.8332358528629926e-07
FINGOLIMOD HYDROCHLORIDE,VISUAL IMPAIRMENT,10.0,0.5637691745799854,0.0,18.114732375358365,119.0,454.0,2.898650011996053e-07
FLUOXETINE,COMPLETED SUICIDE,21.0,0.8329124491286654,0.0,25.907361580129166,106.0,753.0,4.277608773964846e-07
FLUOXETINE,DRUG EXPOSURE DURING PREGNANCY,10.0,0.5386830846290306,0.0,18.932004268013937,106.0,487.0,4.321113611491268e-07
FLUOXETINE,PERSISTENT FOETAL CIRCULATION,3.0,0.006636752582698528,0.0,903.0565736716995,106.0,6.0,4.4166160018608523e-07
FLUOXETINE,RESPIRATORY ARREST,7.0,0.33294375456537617,0.0,21.50134770158149,106.0,301.0,4.421602536975647e-07
FLUOXETINE HYDROCHLORIDE,ATRIAL SEPTAL DEFECT,11.0,0.14200146092037985,0.0,91.25258029970739,189.0,72.0,4.46704200553784e-07
FLUOXETINE HYDROCHLORIDE,CLEFT PALATE,4.0,0.037472607742878014,0.0,134.9432089769218,189.0,19.0,4.510176156804954e-07
FLUOXETINE HYDROCHLORIDE,COMPLETED SUICIDE,15.0,1.485098612125639,0.0,10.285305629440415,189.0,753.0,4.524626142620646e-07
FLUOXETINE HYDROCHLORIDE,EXPOSURE DURING BREAST FEEDING,4.0,0.037472607742878014,0.0,134.9432089769218,189.0,19.0,4.560397189679588e-07
FLUOXETINE HYDROCHLORIDE,FOETAL EXPOSURE DURING PREGNANCY,52.0,0.6508400292184076,0.0,94.65440977144057,189.0,330.0,4.6320170910627645e-07
FLUOROURACIL,THROMBOCYTOPENIA,28.0,5.2389857038505685,0.0,5.501713020728784,626.0,802.0,4.2130132601085455e-07
FLUOXETINE HYDROCHLORIDE,GASTROSCHISIS,4.0,0.015777940102264427,0.0,506.03702438611145,189.0,8.0,4.6427494331110414e-07
FLUOXETINE HYDROCHLORIDE,OCULAR DISCOMFORT,4.0,0.05325054784514244,0.0,88.00644084119583,189.0,27.0,4.7501545698148244e-07
FLUOXETINE HYDROCHLORIDE,PATENT DUCTUS ARTERIOSUS,7.0,0.07888970051132213,0.0,107.3411893492467,189.0,40.0,4.762408377592728e-07
FLUOXETINE HYDROCHLORIDE,PREMATURE BABY,12.0,0.3905040175310446,0.0,32.64755075903059,189.0,198.0,4.772623420934013e-07
FLUOXETINE HYDROCHLORIDE,SEROTONIN SYNDROME,8.0,0.2623082542001461,0.0,32.38637034446128,189.0,133.0,4.813562103523663e-07
FLUOXETINE HYDROCHLORIDE,TALIPES,11.0,0.06705624543462381,0.0,242.0177123132885,189.0,34.0,4.854461444508039e-07
FLUOXETINE HYDROCHLORIDE,TOXICITY TO VARIOUS AGENTS,14.0,1.585682980277575,0.0,8.967744959014864,189.0,804.0,4.892575970712887e-07
FLUOXETINE HYDROCHLORIDE,VENTRICULAR SEPTAL DEFECT,5.0,0.0848064280496713,0.0,66.58382048754743,189.0,43.0,4.936393833892773e-07
FLUTICASONE FUROATE\UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE,PRODUCT COMPLAINT,16.0,0.122936449963477,0.0,164.02357200154717,153.0,77.0,5.102742183162001e-07
FLUTICASONE FUROATE\UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE,PRODUCT DISPENSING ERROR,5.0,0.10058436815193572,0.0,53.90860932783393,153.0,63.0,5.107230463815145e-07
FLUOXETINE HYDROCHLORIDE,INTENTIONAL OVERDOSE,12.0,0.8303140978816654,0.0,14.847052427774424,189.0,421.0,4.7016419700143006e-07
